date,clients,product,market_index,contracts,nf_volume,tons
2024-04-21,683,origination,92.97221508439931,3309,8272,595620
2024-04-28,748,export,92.45611928071521,4681,27149,3978850
2024-05-05,767,export,92.74523576512195,5297,30722,4502450
2024-05-12,798,origination,93.97566501829472,3129,7822,563220
2024-05-19,704,origination,93.94700418700675,2974,7435,535320
2024-05-26,758,export,95.19871911165797,5151,29875,4378350
2024-06-02,763,origination,93.10292302838617,3054,7635,549720
2024-06-09,728,barter,93.76044503188635,2784,8630,612480
2024-06-16,792,export,93.83008268647689,4779,27718,4062150
2024-06-23,806,origination,93.59087680610419,3509,8772,631620
2024-06-30,769,origination,93.66428542733259,3129,7822,563220
2024-07-07,865,export,92.07423029565187,5183,30061,4405550
2024-07-14,775,origination,91.89849278538188,3066,7665,551880
2024-07-21,774,origination,92.18418284259127,3454,8635,621720
2024-07-28,776,barter,93.36649807838448,2967,9197,652740
2024-08-04,766,origination,92.95188190376557,3311,8277,595980
2024-08-11,780,origination,92.30508702145102,3987,9967,717660
2024-08-18,748,export,91.90368138658339,4029,23368,3424650
2024-08-25,802,origination,92.63600308074504,3792,9480,682560
2024-09-01,816,origination,92.89900396847278,2855,7137,513900
2024-09-08,724,barter,92.47519580545915,2403,7449,528660
2024-09-15,816,origination,92.88580975194984,3266,8165,587880
2024-09-22,826,barter,92.96347179142828,2994,9281,658680
2024-09-29,849,barter,93.73838778385459,3482,10794,766040
2024-10-06,881,origination,93.1767453087527,3792,9480,682560
2024-10-13,870,origination,92.91461559147449,3575,8937,643500
2024-10-20,812,origination,92.60092906896877,3354,8385,603720
2024-10-27,811,origination,91.43011711046307,3489,8722,628020
2024-11-03,870,origination,91.66701333211472,3841,9602,691380
2024-11-10,826,export,91.87585754985864,4288,24870,3644800
2024-11-17,800,origination,91.87994831517261,3222,8055,579960
2024-11-24,958,origination,91.69227860847249,3944,9860,709920
2024-12-01,847,export,90.55998201483216,5037,29214,4281450
2024-12-08,837,origination,90.22346575661987,3199,7997,575820
2024-12-15,772,export,89.94929414339845,4358,25276,3704300
2024-12-22,908,origination,89.30747232802116,3670,9175,660600
2024-12-29,831,origination,89.17844375868836,3157,7892,568260
2025-01-05,879,export,89.50168444413998,4881,28309,4148850
2025-01-12,924,export,91.0106331651084,5584,32387,4746400
2025-01-19,842,barter,91.15029541537388,3216,9969,707520
2025-01-26,892,export,91.35633572795209,5583,32381,4745550
2025-02-02,961,export,91.29677899533915,5293,30699,4499050
2025-02-09,786,origination,89.76176202309992,3226,8065,580680
2025-02-16,863,origination,89.74055092274055,3577,8942,643860
2025-02-23,862,export,89.78873509069336,5431,31499,4616350
2025-03-02,898,export,91.7593287806816,5223,30293,4439550
2025-03-09,908,barter,91.6054400088567,3734,11575,821480
2025-03-16,866,origination,91.8466778827236,3973,9932,715140
2025-03-23,888,origination,91.8189084669594,4518,11295,813240
2025-03-30,886,export,90.88396603686377,5075,29435,4313750
2025-04-06,909,origination,91.7982242884758,3870,9675,696600
2025-04-13,939,barter,92.3997707146252,3536,10961,777920
2025-04-20,975,barter,93.03259627225964,3463,10735,761860
2025-04-27,985,origination,92.30508630842385,5080,12700,914400
2025-05-04,970,export,93.42732175717273,5595,32451,4755750
2025-05-11,902,export,92.30584090693891,5334,30937,4533900
2025-05-18,946,origination,92.77532658197913,4749,11872,854820
2025-05-25,1063,barter,94.52769108262711,3806,11798,837320
2025-06-01,1002,origination,93.73526202252256,4575,11437,823500
2025-06-08,936,export,93.28222383884034,4980,28884,4233000
2025-06-15,1037,origination,93.36194493091045,4891,12227,880380
2025-06-22,946,barter,92.9591644076175,3004,9312,660880
2025-06-29,936,origination,91.71863366276459,3390,8475,610200
2025-07-06,1040,origination,91.77348404260941,4193,10482,754740
2025-07-13,912,barter,90.92364107162852,3694,11451,812680
2025-07-20,885,origination,91.30251501613667,3702,9255,666360
2025-07-27,1029,origination,90.56697562874963,4166,10415,749880
2025-08-03,988,barter,91.80692315276366,4154,12877,913880
2025-08-10,996,barter,91.18032051889467,4402,13646,968440
2025-08-17,976,origination,90.92267130593012,4295,10737,773100
2025-08-24,985,export,91.57348507982587,5512,31969,4685200
2025-08-31,978,origination,90.58879362667871,3933,9832,707940
2025-09-07,973,origination,90.77076157436201,3789,9472,682020
2025-09-14,989,origination,91.81647577778794,4379,10947,788220
2025-09-21,991,export,90.53048919013897,5225,30305,4441250
2025-09-28,973,export,90.67819627696481,6170,35786,5244500
2025-10-05,991,export,90.88610251236355,6607,38320,5615950
2025-10-12,894,export,91.5115608097854,5468,31714,4647800
2025-10-19,1061,origination,90.52200024108294,4174,10435,751320
2025-10-26,1050,origination,89.46563495061551,4420,11050,795600
2025-11-02,1029,origination,89.88318820310903,4717,11792,849060
2025-11-09,1049,origination,90.12077594169557,4805,12012,864900
2025-11-16,1055,origination,90.32117022197228,3957,9892,712260
2025-11-23,1006,barter,90.59832878956986,3855,11950,848100
2025-11-30,1020,origination,90.05430901230707,4095,10237,737100
2025-12-07,1079,origination,90.24011197003587,4680,11700,842400
2025-12-14,1066,origination,90.47456994867481,4488,11220,807840
2025-12-21,1167,export,89.90308881425372,5375,31175,4568750
2025-12-28,1148,export,91.39570842316952,6448,37398,5480800
2026-01-04,1115,origination,91.77477475989895,4891,12227,880380
2026-01-11,1028,origination,90.82173196213684,3889,9722,700020
2026-01-18,1043,export,91.3469748490439,6568,38094,5582800
2026-01-25,1022,origination,90.56722951286204,3824,9560,688320
2026-02-01,1095,export,91.196897195856,6158,35716,5234300
2026-02-08,935,export,92.12377365906192,6283,36441,5340550
2026-02-15,1062,origination,91.46722780438056,4248,10620,764640
2026-02-22,1074,origination,92.237928707776,4875,12187,877500
2026-03-01,1011,barter,92.56815344932521,3545,10989,779900
2026-03-08,1142,origination,93.22580157732081,6080,15200,1094400
2026-03-15,1039,origination,94.74323596344396,4702,11755,846360
2026-03-22,1120,export,94.54692547064167,7314,42421,6216900
2026-03-29,1263,barter,93.94393653915567,5303,16439,1166660
2026-04-05,1023,barter,93.23232499545526,4407,13661,969540
2026-04-12,1108,export,92.57967676748291,6177,35826,5250450
2026-04-19,1097,origination,92.51799539995162,4967,12417,894060
2026-04-26,1089,origination,92.79091697980493,4686,11715,843480
2026-05-03,1170,export,93.01226961926895,6451,37415,5483350
2026-05-10,1193,origination,93.67401621849777,5903,14757,1062540
2026-05-17,1178,origination,93.6844177320001,5251,13127,945180
2026-05-24,1097,barter,94.84724499372595,4674,14489,1028280
2026-05-31,1280,origination,94.63551952713559,6016,15040,1082880
2026-06-07,1044,origination,96.81165486040729,4518,11295,813240
2026-06-14,1089,origination,97.31218873861928,5637,14092,1014660
2026-06-21,1162,origination,96.62646269348626,5138,12845,924840
2026-06-28,1161,origination,95.76974869503736,4471,11177,804780
2026-07-05,1188,origination,96.15572662723191,5079,12697,914220
2026-07-12,1255,origination,95.97695639897124,5754,14385,1035720
2026-07-19,1160,export,96.5481567942449,7509,43552,6382650
2026-07-26,1177,export,96.92674689390374,6698,38848,5693300
2026-08-02,1139,origination,96.86848376377824,5445,13612,980100
2026-08-09,1212,barter,96.19104878932353,4140,12834,910800
2026-08-16,1162,origination,94.97917100957483,5534,13835,996120
2026-08-23,1166,origination,94.62195904792122,4533,11332,815940
2026-08-30,1221,barter,95.30707808337999,4724,14644,1039280
2026-09-06,1254,origination,95.47835307868415,6216,15540,1118880
2026-09-13,1063,barter,94.48176205571457,4365,13531,960300
2026-09-20,1221,origination,94.62030679639551,5888,14720,1059840
2026-09-27,1186,barter,94.92856070017858,5087,15769,1119140
2026-10-04,1263,origination,94.22147475121767,5926,14815,1066680
2026-10-11,1195,barter,94.34445483597409,4971,15410,1093620
2026-10-18,1292,origination,94.39102181073089,5306,13265,955080
2026-10-25,1176,barter,93.4766455724664,4693,14548,1032460
2026-11-01,1084,origination,93.76287546074502,4028,10070,725040
2026-11-08,1289,origination,94.21150308183961,5458,13645,982440
2026-11-15,1176,barter,95.07794407637984,4841,15007,1065020
2026-11-22,1134,origination,95.92098571800776,4964,12410,893520
2026-11-29,1236,export,94.81885022364209,7673,44503,6522050
2026-12-06,1224,export,94.06859019170999,7154,41493,6080900
2026-12-13,1293,origination,94.48061840547692,6014,15035,1082520
2026-12-20,1302,export,94.89164716620668,7759,45002,6595150
2026-12-27,1255,origination,95.30368531525151,5199,12997,935820
